TileName	-d	-z	-m	-n	PEgain	Temp	avgPE	avgPE4C	avgPE4CPS

01_KR_1_Jul02	34	1174	8	8	56.88	1099	18.03	13.796	13.204
01_KR_2_Jul02	32	1159	8	8	56.50	1102	18.28	14.186	13.646
01_KR_3_Jul02	32	1153	8	8	56.00	1103	17.85	13.629	13.053
18_1_Jul18	34	1206	8	8	58.88	1098	19.94	15.624	15.118
18_2_Jul18	32	1206	8	8	58.12	1099	20.09	15.721	15.141
18_3_Jul18	36	1206	8	8	58.25	1099	19.89	15.538	14.991
19_1_Jul18	34	1202	8	8	57.75	1100	20.06	15.701	15.066
19_2_Jul18	34	1194	8	8	58.00	1100	19.82	15.469	14.895
19_3_Jul18	32	1197	8	8	57.62	1100	20.00	15.646	15.037
20_1_Jun11	32	1147	8	8	55.75	1101	17.33	13.137	12.591
20_2_Jun11	34	1147	8	8	55.62	1102	17.31	13.146	12.598
20_3_Jun11	30	1145	8	8	55.88	1102	17.26	13.088	12.592
22_1_Jun11	34	1141	8	8	55.25	1102	16.53	12.353	11.780
22_2_Jun11	32	1140	8	8	55.62	1102	16.47	12.302	11.788
22_3_Jun11	30	1140	8	8	55.75	1102	16.48	12.333	11.839
23_1_Jun11	34	1142	8	8	55.38	1102	17.78	13.565	12.992
23_2_Jun11	32	1147	8	8	56.12	1102	17.59	13.437	12.997
23_3_Jun11	34	1143	8	8	55.88	1102	17.63	13.445	12.971
25_1_Jun11	32	1139	8	8	55.12	1102	13.61	9.582	8.998
25_2_Jun11	32	1137	8	8	55.38	1102	13.55	9.552	9.003
25_3_Jun11	28	1110	8	8	55.50	1103	13.49	9.497	8.988
29_1_Jun11	32	1147	8	8	55.88	1102	12.80	8.847	8.324
29_1_Jun29	22	835	8	8	42.12	1109	13.29	9.315	8.547
29_2_Jun11	32	1145	8	8	56.12	1101	12.77	8.825	8.345
29_2_Jun29	24	875	8	8	41.75	1110	13.39	9.384	8.539
29_3_Jun11	36	1146	8	8	55.62	1101	12.92	8.911	8.351
29_3_Jun29	22	881	8	8	42.12	1110	13.27	9.197	8.386
32_1_Jun11	30	1149	8	8	56.12	1101	20.00	15.821	15.348
32_2_Jun11	30	1143	8	8	55.88	1101	20.03	15.839	15.326
32_3_Jun11	32	1147	8	8	56.00	1102	19.50	15.324	14.845
35_1_Jun11	32	1153	8	8	56.38	1100	19.08	14.907	14.420
35_2_Jun11	34	1154	8	8	56.25	1101	19.11	14.939	14.457
35_3_Jun11	32	1150	8	8	55.88	1101	19.26	15.064	14.531
36_1_Jun11	32	1141	8	8	55.88	1102	19.97	15.798	15.313
36_2_Jun11	30	1141	8	8	55.88	1102	20.01	15.841	15.368
36_3_Jun11	36	1143	8	8	55.62	1102	19.76	15.587	15.088
48_1_Jul18	34	1194	8	8	58.00	1101	16.96	12.773	12.198
48_1_May21	34	1218	8	8	59.50	 108	19.89	15.676	15.228
48_2_Jul18	34	1193	8	8	58.00	1101	16.91	12.733	12.172
48_2_May21	38	1140	8	8	56.25	 110	18.20	13.960	13.593
48_3_Jul18	34	1189	8	8	58.38	1101	16.88	12.706	12.211
48_4_May21	32	1117	8	8	54.00	 110	17.37	12.992	12.427
49_1_Jun11	32	1146	8	8	55.88	1102	19.63	15.527	15.044
49_1_Jun29	26	973	8	8	46.62	1111	20.12	15.910	15.195
49_2_Jun11	34	1141	8	8	55.12	1102	19.90	15.748	15.148
49_2_Jun29	28	973	8	8	47.00	1111	19.91	15.731	15.077
49_3_Jun11	32	1140	8	8	55.12	1103	19.85	15.703	15.106
49_3_Jun29	28	970	8	8	46.75	1111	20.05	15.845	15.129
50_1_Jun11	34	1142	8	8	55.75	1102	15.09	11.071	10.553
50_2_Jun11	30	1145	8	8	55.50	1102	15.29	11.214	10.649
50_3_Jun11	32	1142	8	8	56.38	1102	15.02	11.044	10.635
51_1_Jul18	34	1184	8	8	58.38	1101	11.26	7.271	6.797
51_2_Jul18	34	1178	8	8	57.88	1101	11.36	7.292	6.748
51_3_Jul18	36	1149	8	8	58.25	1101	11.26	7.214	6.738
52_1_Jun11	32	1147	8	8	55.75	1101	15.73	11.659	11.128
52_2_Jun11	30	1145	8	8	55.50	1101	15.83	11.752	11.178
52_3_Jun11	30	1148	8	8	56.12	1101	15.67	11.638	11.141
53_1_Jun11	30	1096	8	8	56.00	1101	17.75	13.671	13.183
53_1_Jun29	28	968	8	8	47.00	1112	17.91	13.799	13.149
53_2_Jun11	32	1145	8	8	56.00	1101	17.76	13.648	13.163
53_2_Jun29	26	972	8	8	47.00	1112	17.74	13.562	12.887
53_3_Jun11	32	1145	8	8	55.50	1102	17.94	13.781	13.204
53_3_Jun29	28	971	8	8	46.88	1112	17.84	13.660	12.972
54_1_Jun11	34	1152	8	8	55.62	1101	18.82	14.658	14.063
54_2_Jun11	32	1154	8	8	56.00	1101	18.64	14.524	14.012
54_3_Jun11	32	1150	8	8	56.00	1101	18.66	14.519	13.994
63_1_Jun11	32	1145	8	8	55.62	1102	20.28	16.155	15.627
63_1_Jun29	28	968	8	8	46.62	1111	20.85	16.671	15.988
63_2_Jun11	34	1143	8	8	55.62	1102	20.08	15.948	15.411
63_2_Jun29	26	967	8	8	46.25	1111	21.13	16.877	16.114
63_3_Jun11	34	1142	8	8	55.38	1102	20.14	15.976	15.413
63_3_Jun29	26	964	8	8	46.50	1111	21.01	16.792	16.086
64_1_Aug21	34	1196	8	8	58.25	1105	16.24	12.167	11.626
64_2_Aug21	34	1194	8	8	58.12	1105	16.45	12.353	11.770
64_3_Aug21	36	1198	8	8	58.00	1105	16.52	12.435	11.823
66_1_Jul18	36	900	2	4	57.00	1100	3.83	5.202	4.604
66_2_Jul18	36	900	2	4	58.75	1100	3.70	5.056	4.577
66_3_Jul18	36	900	2	4	57.25	1100	3.79	5.167	4.594
67_1_Jun11	36	900	2	4	55.75	1101	3.69	5.035	4.530
67_1_Jun29	36	900	2	4	43.00	1110	3.82	5.177	4.455
67_2_Jun29	36	900	2	4	42.75	1110	3.83	5.186	4.462
67_3_Jun29	36	900	2	4	43.25	1110	3.79	5.139	4.473
68_1_Jun11	32	1146	8	8	55.25	1102	14.50	10.483	9.891
68_2_Jun11	34	1141	8	8	55.25	1102	14.52	10.499	9.901
68_3_Jun11	32	1144	8	8	56.25	1102	14.28	10.347	9.919
69_1_Jun11	34	1145	8	8	56.25	1102	19.38	15.268	14.831
69_2_Jun11	30	1143	8	8	55.75	1102	19.30	15.163	14.653
69_3_Jun11	32	1146	8	8	55.88	1102	19.22	15.097	14.612
70_1_Jun11	34	1148	8	8	56.00	1102	17.95	13.818	13.322
70_2_Jun11	32	1149	8	8	56.25	1102	17.87	13.776	13.324
70_3_Jun11	32	1146	8	8	55.62	1102	18.11	13.986	13.441
73_1_Jun11	34	1147	8	8	56.00	1101	20.38	16.238	15.739
73_1_Jun29	26	970	8	8	46.75	1111	20.92	16.711	16.016
73_2_Jun11	32	1150	8	8	56.12	1101	20.34	16.223	15.742
73_2_Jun29	26	970	8	8	46.75	1112	20.89	16.678	15.995
73_3_Jun11	32	1146	8	8	56.00	1102	20.32	16.198	15.698
73_3_Jun29	28	974	8	8	47.12	1111	20.33	16.130	15.499
74_1_Jun11	32	1097	8	8	55.75	1101	11.90	7.927	7.391
74_1_Jun29	24	868	8	8	41.00	1105	12.50	8.467	7.586
74_2_Jun11	32	1152	8	8	55.50	1102	11.94	7.941	7.362
74_2_Jun29	24	859	8	8	41.62	1107	12.22	8.279	7.537
74_3_Jun11	32	1151	8	8	55.62	1102	11.93	7.909	7.359
74_3_Jun29	26	870	8	8	41.62	1108	12.18	8.220	7.481
75_1_Jun11	32	1141	8	8	55.50	1103	13.51	9.551	9.025
75_2_Jun11	32	1141	8	8	55.12	1102	13.61	9.629	9.042
75_3_Jun11	32	1144	8	8	55.12	1102	13.63	9.654	9.068
76_1_Jun11	32	1145	8	8	56.00	1101	19.15	15.017	14.510
76_2_Jun11	32	1144	8	8	55.88	1101	19.18	15.028	14.502
76_3_Jun11	34	1153	8	8	56.25	1101	19.07	14.962	14.491
77_1_Jul02	32	1137	8	8	55.25	1105	13.66	9.778	9.211
77_1_Jun08	30	1134	8	8	55.38	1104	13.89	9.953	9.519
77_2_Jul02	30	1136	8	8	55.00	1106	13.76	9.850	9.247
77_2_Jun08	34	1130	8	8	55.25	1104	13.91	9.962	9.493
77_3_Jul02	30	1131	8	8	55.00	1106	13.70	9.802	9.221
77_3_Jun08	32	1132	8	8	54.62	1104	13.95	9.972	9.409
81_1_Jul02	36	1143	8	8	55.50	1105	18.82	14.659	14.090
81_1_Jun08	32	1137	8	8	55.25	1104	18.88	14.760	14.252
81_2_Jul02	32	1142	8	8	55.00	1105	18.95	14.795	14.160
81_2_Jun08	34	1139	8	8	55.25	1104	19.41	15.396	14.860
81_3_Jul02	34	1140	8	8	55.25	1105	18.94	14.788	14.192
81_3_Jun08	36	1135	8	8	55.38	1104	19.49	15.504	14.984
82_1_Jul02	32	1136	8	8	55.38	1106	13.86	9.954	9.433
82_1_Jun08	30	1134	8	8	54.75	1104	14.11	10.120	9.523
82_2_Jul02	30	1134	8	8	54.88	1106	13.99	10.031	9.423
82_2_Jun08	30	1133	8	8	55.38	1104	13.98	10.030	9.528
82_3_Jul02	32	1129	8	8	55.00	1106	13.94	9.986	9.409
82_3_Jun08	32	1133	8	8	55.38	1104	13.83	9.881	9.381
83_1_Jun11	34	1150	8	8	56.38	1101	18.55	14.451	13.991
83_1_Jun29	24	925	8	8	47.12	1110	18.76	14.691	14.082
83_2_Jun11	32	1148	8	8	56.38	1101	18.59	14.473	14.003
83_2_Jun29	28	967	8	8	47.12	1110	18.58	14.487	13.874
83_3_Jun11	30	1149	8	8	56.38	1101	18.56	14.482	14.029
83_3_Jun29	28	964	8	8	46.50	1110	18.76	14.642	13.937
84_1_Aug21	32	1198	8	8	57.75	1105	14.74	10.719	10.073
84_2_Aug21	34	1184	8	8	57.88	1106	14.71	10.680	10.082
84_3_Aug21	34	1193	8	8	58.12	1105	14.63	10.703	10.118
85_1_Jun11	32	1141	8	8	55.50	1102	13.46	9.543	9.030
85_2_Jun11	30	1139	8	8	55.25	1103	13.51	9.582	9.035
85_3_Jun11	32	1139	8	8	55.75	1103	13.43	9.537	9.069
89_1_Aug21	36	1199	8	8	57.88	1105	12.29	8.408	7.808
89_2_Aug21	32	1196	8	8	57.88	1105	12.35	8.401	7.791
89_3_Aug21	34	1193	8	8	57.75	1105	12.34	8.375	7.757
92_1_Jun08	32	1134	8	8	55.25	1104	14.81	10.820	10.323
